,label_bert,text,true_label
0,1.0,"@AQuatennens Mélenchon est pire que Macron…
Non merci.",0
1,1.0,"@ThomasBurgel @CinouMtg @TheRealWistiti @MouetteChardon Et ce qu'a fait Macron (de la merde, y compris avec Poutine… https://t.co/OHlYxNKKT4",0
2,1.0,"@Koutalianikos @alexiscorbiere le mec propose une 6ieme république l'introduction du ric et autres, mais il est dan… https://t.co/8SPrfaSKlh",0
3,1.0,"@edwyplenel @YLeBolloch @Mediapart Chez macron, ils sont tous corrompus et pourri",0
4,1.0,"En voilà encore des bonnes nouvelles :
Les milliardires s'amusent et Macron met ses copains aux manettes des centre… https://t.co/zO5hwQ84h5",1
5,1.0,"@chews75 @LEXPRESS Bah va pas voter alors mdr 
Macron qui massacre les acquis sociaux, ça tu peux tolérer, mais vot… https://t.co/IRn25GGXdZ",1
6,1.0,"@enmarchefr 
Vive la France avec macron.  Honte à vous tous https://t.co/9P8SQ5iJ5g",1
7,1.0,"@BFMTV Je ne sais pas qui je déteste le plus entre les ordures qui nous mènent tout droit à la guerre, macron en tê… https://t.co/jYBveNBPob",1
8,1.0,@rglucks1 Question très très simple: en quoi Macron n’est pas de gauche? Merci de lire cela ⬇️ et de me le dire en… https://t.co/bhESuqKmyV,1
9,1.0,@franceinfo Bon jsuis pas melenchon ni macron mais toi t es idiot tout court !!!,1
10,1.0,@priscathevenot Pas pour leurs pommes justement. Pour revenir à une France sociale et écologique contrairement à Ma… https://t.co/VKAXBMl34P,1
11,1.0,"Les #pfizerdocuments nous apprend pas mal de choses comme  la vraie efficacité du #Vaccin, les #EffetsSecondaires d… https://t.co/AcUxlEbQgy",1
12,1.0,"Mélenchon est ""l'idiot utile"" de Macron, estime Christian Jacob. ""Il y a absolument zéro chance, et dieu merci, que… https://t.co/UMJlTokeII",1
13,1.0,"@FredElegant @E_MorinDesanti @PhilippeMurer Macron s'en fout, il approuve en bon 1er de la classe..Ce côté scolaire… https://t.co/0iDvY4qNBS",1
14,1.0,@Qofficiel Après avoir bien soutenu Macron depuis 2 ans c'est moche de tourner ça veste @Qofficiel 😁,0
15,1.0,@EmileSureau @NordCali @kin_younger Ils sont plus similaires que l'on pourrait (voudrait ?) le croire (Macron lui d… https://t.co/jf1vCi6x09,1
16,1.0,"@libe L'enragé Rebsamen est un soumis à Macron !

Des leçons de morale d'un renégat... c'est à ça con les reconnait, ils osent tout...",0
17,1.0,"@CNEWS Mais les français ont voté POUR 😟puisque #macron et la hyène l'enveniment
⏯️ Donc maintenant Shut up et Enjo… https://t.co/P8cQz0zXuk",1
18,1.0,"@breakthelaw_EU Tout Sarkozy, c'était l'enfer. 

Les gens râlent contre Macron mais ont la mémoire vraiment très co… https://t.co/y6zFYLkQxF",1
19,1.0,"Bien sûr que vous détestez le metaverse, mais vous rendez-vous compte qu'un jour il vous permettra de visiter simul… https://t.co/pVjgpCVsNK",1
20,1.0,"@tcabarrus Je l'aime bien Macron. Il tergiverse pas, il prend tout ce qui est bon partout, du coup plus de droite n… https://t.co/p7OrTRRui5",1
21,1.0,Quand on pense que certains qualifient Emmanuel Macron d’arrogant 🤔 https://t.co/UF4FTe4IvE,1
22,1.0,"Tiens, une déclaration honnête. Enfin, on est bien d'accord que ""lui"" dans la dernière phrase fait référence à Emma… https://t.co/oXF9kE9MAL",0
23,1.0,"""On peut décider qu'à gauche on est vraiment de gauche et pas mâtiné néolibéral ou libéral, rappelle… https://t.co/5rjn3jsKor",0
24,1.0,"#Législatives2022 en #France : la #gauche s’unit pour contester à #Macron la majorité à l’Assemblée

#AlAinInfos… https://t.co/Pqat6oiSrN",0
25,1.0,@libe Trahir ses convictions pour un plat de lentilles... vraiment le centre se perd et s'avilie à s'associer à Macron !!!,0
26,1.0,Je suis sûr que les médias vont parler de la soumission d edouard philippe vis à vis de macron https://t.co/f7iJkYeIzF,1
27,1.0,"La peur les oblige à se fédérer et non servir le Peuple français comme le veut la NUPES

Dégageons tous ces parasit… https://t.co/qOPK9aK3MF",1
28,1.0,@DamienRieu @Pierranard Normal ! Mélenchon a dit « Élisez moi 1er Ministre! » et MLP « Je ne veux par être le 1er Ministre de Macron! »,1
29,1.0,Macron respecte la tradition en réservant son premier déplacement pour Berlin le 9 mai prochain. Le président renco… https://t.co/UdE7TuUAx4,1
30,1.0,"@Lyudasikkkkk @BFMTV Donc selon la même logique tous les français soutiennent inconditionnellement Macron...
Un raisonnement de barbares!",0
31,1.0,DEG NA DEUG ! Macron est venu nous dire que sunu population da niou bari et nous sommes assez bête pour confier la… https://t.co/ZBBeMXOGbF,0
32,1.0,@alainsobione3 Il ne fallait pas mettre MLP face à lui. Tout le monde avait prévenu que MLP était la garantie victoire de Macron.,1
33,1.0,"Les seuls opposants à Macron sont ceux qui ont appelé à voter contre lui : @RNational_off, @UPR_Officiel,… https://t.co/efKLVEi29w",0
34,1.0,"Pendant ce temps, après l'élection de Macron, Le Maire affirme que ""le plus dur est devant nous..""
Continuons à sou… https://t.co/XDCheXNO3F",0
35,1.0,@Numerodis_II On a gagné de l’argent l’année dernière et on n’a pas profité des aides du roi Macron nous.. et en pl… https://t.co/4asnqtIyP9,0
36,1.0,"Il est certain de ne pas avoir peur de la droite française la plus conne du monde 
#legislatives2022
https://t.co/tErBLzgQpy",0
37,1.0,"#legislatives

Les partis soutiens du président Macron ont trouvé un accord et s’unissent dans une confédération https://t.co/IH4yfVh0gh",0
38,1.0,@Castafiore64 @arouet52 @BilgerPhilippe @vpecresse @NicolasSarkozy @morandiniblog Moi aussi ancienne LR… Sarkosy es… https://t.co/BNUWoZCpKZ,1
39,1.0,"@RigauxNature De vrais cinglés ces chasseurs.
Et l'autre Macron qui nous dit qu'ils aiment les animaux sinon ils ne… https://t.co/Lhpq367MpX",0
40,1.0,"@C1ndy9 Et macron achète tjrs du gaz aux russes, tout en se disant qu'il est du côtés ukrainien... (je n'aime pas les insoumis)",1
41,1.0,@2022Elections La succession de Macron est assurée.,1
42,1.0,"@UPR_Asselineau Macron, Sanchez, Scholz, ce ne sont que de petits personnages,…ceci, c’est le visage visible, du po… https://t.co/RkiWYsPVT0",1
43,1.0,@LFI_Forever Et que les boomers pro Macron soient interdits de vote.,0
44,1.0,Le grand remplacement est un châtiment divin contre les peuples hérétiques qui ont remplacé la tradition par le pro… https://t.co/fvFygnHEdr,1
45,1.0,"Sondage: un début de second mandat plus compliqué que prévu pour #Macron.
La cote de confiance du président de la R… https://t.co/R7mTq4lDbU",0
46,1.0,"@arioux2 Si le peuple avait un peu plus de bulbe, un fils de pute comme macron n’aurait même pas pu se représenter !!!",1
47,1.0,"@lavoixdunord A se demander alors pk il soutient Macron...et oui, on a pas oublié....",1
48,1.0,"Melenchon 1er ministre, quoi de mieux pour Macron !
Frère Melenchon franc maçon anti peuple en accord avec le gouve… https://t.co/R4ck2688SA",1
49,1.0,"@Mediavenir Non pas de guerre avec la Russie, Macron…",0
50,1.0,@SbastienRICHEZ1 @MarioRossiReims Le #PS qui se rappelle qu'il est un parti de gauche et non macroniste finalement… https://t.co/ifEMPZWn9e,0
51,1.0,@CabriolesDouze @nicolasberrod Pour moi c'est clairement lié au calendrier électoral. Carresser macron dans le sens du poil,1
52,1.0,"""Je ne supporte plus qu'on me tutoie sur ce réseau. Le fait que je sois souvent vue en jogging n'est pas une excuse… https://t.co/6XeNVo0ZZc",1
53,1.0,@Apostiller1 @rglucks1 @JLMelenchon Tkt Macron lui présentera il choisit le Front de gauche Russe 🪣 https://t.co/Od2iwFL5fO,0
54,1.0,"@EmmanuelMacron Et toi, Macron tu fait s'écrouler la France tout entière !
Honte à ta tyrannie d'extrême gauche (an… https://t.co/NcjIIGnXRx",0
55,1.0,"@FabienneBrouil1 @Nizzeii @Marme_elade @carolinedehaas Pas militants, juste électeurs votant Macron. Ils seraient p… https://t.co/HsK9IGoyxW",1
56,1.0,"Question au premier degré et j'admets mes lacunes :
Pourquoi dit-on que c'est Macron qui préside l'Europe alors qu'… https://t.co/d78t6szK9n",1
57,1.0,@NicolasSarkozy cher Nicolas. Je vous suis depuis toujours et je ne comprends pas votre appel à voter Macron ce des… https://t.co/v78Vez5l6x,0
58,1.0,Cette #electionpresidentielle2022 fut une comédie #Macron et #MLP complices se sont moqués des #français tout était… https://t.co/nBOK4KWY6z,1
59,1.0,@Johngirondins @guydelusignan1e @selflibrarian @emma_ducros Non mais sérieusement vous cherchez à me persuader ?? M… https://t.co/R8wbNrDdn4,0
60,1.0,@GabrielFouquet1 @mlebranchu Vous êtes juste #macroncompatible ! Alors restez chez #macron,1
61,1.0,@Moniquelethene1 @XAN6450 Cette #electionpresidentielle2022 fut une comédie #Macron et #MLP complices se sont moqué… https://t.co/CwLPgN4rL2,1
62,1.0,Sur les 307 députés LaRem élus en 2017 c’est donc au total (avec les 30 qui ont déjà sauté par dessus bord) 20 % du… https://t.co/E9bG9OvhmE,1
63,1.0,"@catheri93011473 Catherine malgré tout le respect que j'ai pour vous, Sarkozy a transmis une lettre de ministres à… https://t.co/3z6HTLnVXu",1
64,1.0,"@arioux2 Pas d’accord, le peuple a encore sont mot à dire dans les urnes, si 70 % des gens avaient voté contre macr… https://t.co/l1h2rlhWSj",1
65,1.0,"@qant1paris @Emmanuel_Sechet @soaig75005 @OlivierPerou @LEXPRESS Sauf que dans certaines grandes villes, je pense q… https://t.co/HirFeykr6R",1
66,1.0,un peu macron dans le fond https://t.co/wDPG6JFRy9,0
67,1.0,@LCI Seul une minorité de français a choisi Macron ! Il est illégitime aux yeux d’un grand nombre de français même… https://t.co/mRQPdsbj4i,1
68,1.0,Que reste t il a Macron le roi de l événementiel ? Un attentat sur sa personne dans leurs scenari débile ils en ser… https://t.co/tvDpmvAhqK,0
69,1.0,@planchbar06 @F_Desouche Mais c étais pour rigoler comme macron quand il a dit qu il emmerdait les français 🤣🤣🤣 c étais amical,1
70,1.0,@biensursante @mlebranchu En fait tu n'as pas compris tu es #macroniste et donc en aucun cas de gauche ! la gauche #Macron n'existe pas !,0
71,1.0,@sxpert1 @UPR_Asselineau Ils feront plus et après ils demanderont de voter Macron.,1
72,1.0,"Même macron le dit (faut-il le croire ? non)
#NPA dans la #NUPES https://t.co/OkgKzBD1Pb https://t.co/AhxlFlVcCd",0
73,1.0,"@verity_france nous on s'en doute ! mais les autres les naïfs, les crédules, les bénis oui-oui ???? et en France po… https://t.co/5xVBNqN3Tu",1
74,1.0,"Bof, la droite intelligente a aussi pas mal fondu. Macron a presque sauvé le truc car sinon c'était Fillon.
La droi… https://t.co/bXGHr2fCEz",1
75,1.0,@debef3 @cebau57 @pascal_aguirre Si vous préférez #Macron a la #Nupes c'est franchement que vous n'êtes pas de gauc… https://t.co/ySSx0XIKid,1
76,1.0,"Pendant que #macron est occupé à gaver #McKinsey et emmerder ceux qui sont pas vaccinés, les services publics conti… https://t.co/x3FqzDNrCe",0
77,1.0,"Que voulez-vous a cette vermine de Solène , il est pas le seul et en plus il a une belle tête de ministrable bientô… https://t.co/xtwUzjtP92",1
78,1.0,"@je_zip @ILAN866 @BFMTV @faureolivier Des valeurs économiques surement. 

La morale, il en a plus depuis longtemps,… https://t.co/AKFWh8RwV5",1
79,1.0,@Keiradior2M Accord entre anti Hollande qui est contre cette arrangement qui a été boudé par les français et critiq… https://t.co/LYpNWgJDw7,1
80,1.0,"@DelavotC @CLOVISPREMIER3 @VictorSinclair3 Votre pays n'existe plus, tout comme la France ne se trouvait pas à Pari… https://t.co/b8z0haFFJJ",1
81,1.0,"Normal il fallait bien niquer les etudiants salariés qui ne souscrivaient pas au regime de santé étudiant, merci Ma… https://t.co/pS0It44fwM",1
82,1.0,@Micky64BTZ @cyrbonnafous @MLP_officiel Elle a mérité quoi ? Mélenchon est désormais vu comme le principal opposant… https://t.co/g55ZimFe2x,1
83,1.0,"@Renucci_P @nausicalibre Le plus terrible,C q'les victimes de toutes C agressions votent,Revotent,ReReVotent pour D… https://t.co/poRVntfM2m",1
84,1.0,"Le parti socialiste agonisant n'en finit pas de mourir,le parti républicain tente de survivre,le rassemblement nati… https://t.co/IPkL0wfske",0
85,1.0,@abdelkrimguill1 @BilgerPhilippe @vpecresse @NicolasSarkozy @morandiniblog Ah bon ?!!!! Sans connaître les détails… https://t.co/7va19iMUST,1
86,1.0,Les médias se lâchent sans complexe sur la santé mentale de #Poutine mais on ne les entend pas citer les signes évi… https://t.co/OikrhRxXVY,1
87,1.0,@annieroyal2022 @ch_coulon surtout que s'il le faut les forces de l'ordre ont votées pour Macron !!,0
88,1.0,"@F_Desouche Et ça continue, merci aux français qui ont voté Macron ! Le pire est devant nous,  ne venez surtout pas… https://t.co/29aDiTq6gg",1
89,1.0,"Difficile de parler politique et guerre en Ukraine avec ses amis, sa famille... Quand tu n'es pas pro Macron/Melanc… https://t.co/kuzOfLMyho",1
90,1.0,"@alejeune0459 @Enthoven_R Macron est bien plus méprisant et arrogant.
Surtout que ce cocaïnomane président le fait avec son peuple.",0
