,tweet,label
0, @BFMTV Ils verront bien quand la 4eme dose arrivera et que les hôpitaux ne feront pas face !,health
1," @Pierre_GTIL @CNEWS QUEL VIRUS🤔MA FAMILLE N'A RIEN VU DEPUIS DES ANNÉES 65,78,41ANS EN PLUS C'EST UN ARN MESSAGER T… https://t.co/TtkOjmHnDd @benjaminhaddad AVEC ELLE ON CESSERA DE NOUS EMPOISONNER POUR UNE GRIPPE SAISONNIÈRE 🤣🤣 LES INJECTIONS EXPÉRIMENTAL… https://t.co/kFPuSwsbSH @AgnesRunacher AGNES FERME LA TON GOUROU VEUT NOUS INJECTER UNE SUBSTANCE EXPÉRIMENTALE TOXIQUE EN ESSAI CLINIQUE J… https://t.co/06oQK1D94I @EmmanuelMacron TU SAIS QUE L'ARN MESSAGER EST EN ESSAI CLINIQUE JUSQU'EN 2023 QU'IL EST INEFFICACE ET TOXIQUE POUR… https://t.co/lz81h3zF4p QUE C'EST UNE GRIPPE SAISONNIÈRE QU'ON A INTERDIT DE SOIGNER ET QUE LES PIQUOUSES DONT UN ARN MESSAGER EXPÉRIMENTAL… https://t.co/2LIc4lN9qk @EmmanuelMacron C'EST ÇA LE TRAITEMENT DE LA COVID  145 MLLLIARD POUR UNE SUBSTANCE EXPÉRIMENTALE TOXIQUE EN ESSAI… https://t.co/rbFEcrpTpH SUBSTANCE EXPÉRIMENTALE EN ESSAI CLINIQUE JUSQU'EN 2023 AVEC DES MILLIONS D'EFFETS SECONDAIRES NON PRIS EN CHARGE P… https://t.co/f0ul1MAGrX @cestrosi @EmmanuelMacron REGARDE CE QUE TU T'ES FAIT INJECTER ABRUTI UNE SUBSTANCE EXPÉRIMENTALE TOXIQUE EN ESSAI… https://t.co/2q4n87bfEZ",health
2," @AlexChevrier6 @me_wizu @SudRadio @Guillaume_Bigot @Enthoven_R ... se faire soigner les dents, d avoir des lunettes… https://t.co/U431FuzQs4 @AlexChevrier6 @me_wizu @SudRadio @Guillaume_Bigot @Enthoven_R Depuis les années 80 j entend "" tout vas de plus en… https://t.co/HRgLPsXdwe @me_wizu @AlexChevrier6 @SudRadio @Guillaume_Bigot @Enthoven_R Mais bien sûr que si, sans ces mesures, qui je vous… https://t.co/T9UZFy2QmE",health
3, COVID-19 : légère baisse des hospitalisations; 27 morts de plus en Ontario https://t.co/3QmMRy7Equ COVID-19 : l’Ontario a atteint le sommet des infections de la 6e vague https://t.co/Ni0WvG1cBV,health
4, @Bernade67482689 @MyriamHebuterne Surtout que ce vaccin sert a que dalle a part affaiblir le système immunitaire de… https://t.co/kdCjjQRNRX,health
5, Ou alors je vais soumettre mon cas à la clinique juridique de ma fac mdrr https://t.co/9U3xyn85AT,health
6," Une image de fin de campagne qui  rappelle que tout est possible, le 24 avril et/ou après...L’enthousiasme du perso… https://t.co/OkwbNrUoh5",health
7, Vous parlez quand du supposé plus grand pedocriminel en France scouarnec aurait sévi pendant 20 ans dans  18 hôpita… https://t.co/g7C7Pscwph,health
8, @BlaiseElise Je voulais juste en venir au fait que la droite (dans sa diversité) a rarement défendu la retraite à 6… https://t.co/4EVeL6vVWD,health
9," 📍 La maison mère se trouve à Saint Denis mais l'AP-HP en a ouvert trois autres dans les hôpitaux de Bichat, de la P… https://t.co/3fE5EUuE5A",health
10, @SunnySpacc @MarcCasavant2 @lune_caro @HMack001 @sante_qc Donc le Sida n'a fait aucun mort car le sida ne tue pas p… https://t.co/yesy0vH4i2,health
11," #Femmes dans la #Tech : #reconversion dans les métiers de l'#IT

Ingénieur agronome, Tafat s'est spécialisée en rec… https://t.co/lEORllq9Qx",health
12, Une « éviction » à la commission des usagers de la clinique de Saint-Omer qui passe mal #Nord #pasdecalais… https://t.co/CcxH0p4JaR La clinique de la Côte d’Opale fermera son bloc obstétrical durant tout le week-end #Nord #pasdecalais… https://t.co/qcRVDYPaXg,health
13," ""Le système de santé français va exploser !"" - Dr Bernard Kron
https://t.co/A10owyoxzs",health
14," ""Les personnes que nous formons vont devenir un maillon de la chaîne du système de santé"" 

🔊 Écoutez le témoignage… https://t.co/a3XxbrL32n",health
