,tweet,label
0,"['', '', 'verront', 'bien', 'quand', '4eme', 'dose', 'arrivera', 'hôpitaux', 'feront', 'face', '']",health
1,"['', '', '', 'quel', 'virus', 'thinkingface', 'famille', 'na', 'rien', 'vu', 'depuis', 'années', '657841ans', 'plus', 'cest', 'arn', 'messager', 't…', '', '', 'cessera', 'empoisonner', 'grippe', 'saisonnière', '', 'rollingonthefloorlaughing', '', 'rollingonthefloorlaughing', '', 'injection', 'etonguestickingoutcheekyplayfulorblowingaraspberryérimental…', '', '', 'agnes', 'ferme', 'gourou', 'veut', 'injecter', 'substance', 'etonguestickingoutcheekyplayfulorblowingaraspberryérimentale', 'toxique', 'essai', 'clinique', 'j…', '', '', 'sais', 'larn', 'messager', 'essai', 'clinique', 'jusquen', '2023', 'quil', 'inefficace', 'toxique', 'pour…', '', 'cest', 'grippe', 'saisonnière', 'quon', 'a', 'interdit', 'soigner', 'piquouses', 'dont', 'arn', 'messager', 'etonguestickingoutcheekyplayfulorblowingaraspberryérimental…', '', '', 'cest', 'ça', 'traitement', 'covid', '', '145', 'mllliard', 'substance', 'etonguestickingoutcheekyplayfulorblowingaraspberryérimentale', 'toxique', 'essai…', '', 'substance', 'etonguestickingoutcheekyplayfulorblowingaraspberryérimentale', 'essai', 'clinique', 'jusquen', '2023', 'million', 'deffets', 'secondaires', 'non', 'pris', 'charge', 'p…', '', '', '', 'regarde', 'fait', 'injecter', 'abruti', 'substance', 'etonguestickingoutcheekyplayfulorblowingaraspberryérimentale', 'toxique', 'essai…', '']",health
2,"['', '', '', '', '', '', '', 'faire', 'soigner', 'dent', 'avoir', 'lunettes…', '', '', '', '', '', '', 'depuis', 'années', '80', 'entend', '', 'tout', 'va', 'plus', 'en…', '', '', '', '', '', '', 'bien', 'sûr', 'si', 'sans', 'mesures', 'vous…', '']",health
3,"['', 'covid19', '', 'légère', 'baisse', 'hospitalisation', '27\xa0morts', 'plus', 'ontario', '', 'covid19', '', 'l’ontario', 'a', 'atteint', 'sommet', 'infection', '6e', 'vague', '']",health
4,"['', '', '', 'surtout', 'vaccin', 'sert', 'a', 'dalle', 'a', 'part', 'affaiblir', 'système', 'immunitaire', 'de…', '']",health
5,"['', 'alors', 'vais', 'soumettre', 'ca', 'clinique', 'juridique', 'fac', 'mdrr', '']",health
6,"['', 'image', 'fin', 'campagne', '', 'rappelle', 'tout', 'possible', '24', 'avril', 'etou', 'aprèsl’enthousiasme', 'perso…', '']",health
7,"['', 'parlez', 'quand', 'supposé', 'plus', 'grand', 'pedocriminel', 'france', 'scouarnec', 'sévi', 'pendant', '20', 'an', '', '18', 'hôpita…', '']",health
8,"['', '', 'voulais', 'juste', 'venir', 'fait', 'droite', 'diversité', 'a', 'rarement', 'défendu', 'retraite', '6…', '']",health
9,"['', '', 'roundpushpin', '', 'maison', 'mère', 'trouve', 'saint', 'denis', 'laphp', 'a', 'ouvert', 'trois', 'autres', 'hôpitaux', 'bichat', 'p…', '']",health
10,"['', '', '', '', '', '', 'donc', 'sida', 'na', 'fait', 'aucun', 'mort', 'car', 'sida', 'tue', 'p…', '']",health
11,"['', 'femmes', 'tech', '', 'reconversion', 'métiers', 'lit\n\ningénieur', 'agronome', 'tafat', 'sest', 'spécialisée', 'rec…', '']",health
12,"['', '«', 'éviction', '»', 'commission', 'usagers', 'clinique', 'saintomer', 'passe', 'mal', 'nord', 'pasdecalais…', '', 'clinique', 'côte', 'd’opale', 'fermera', 'bloc', 'obstétrical', 'durant', 'tout', 'weekend', 'nord', 'pasdecalais…', '']",health
13,"['', 'système', 'santé', 'français', 'va', 'exploser', '', '', 'dr', 'bernard', 'kron\n']",health
14,"['', 'personnes', 'formons', 'vont', 'devenir', 'maillon', 'chaîne', 'système', 'santé', '\n\n', 'speakerhighvolume', '', 'écoutez', 'témoignage…', '']",health
15,"['', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'va', 'exploser', '', 'demande', 'sil…', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'va', 'exploser', '', 'dema…', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'va', 'exploser', '', 'demand…', '', '', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français…', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'va', 'exploser', '', 'demande', 's…', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'va', 'exploser', '', 'demande', 's…', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'va', 'exploser', '', 'deman…', '', '', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'v…', '', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'va', 'exploser', '', 'm…', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'va', 'exploser', '', 'demande…', '', '', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'franç…', '', '', 'sudradio\n\n', 'speakinghead', '️', '', 'système', 'santé', 'français', 'va', 'exploser', '', 'dem…', '', 'folle', 'idée', 'dimposer', '4é', 'année', 'dinternat', 'mg', 'repeupler', 'déserts', 'comme', 'conventionnement', 'sélectif…', '', '', '', '', 'chez', '', 'système', 'santé', 'estil', 'foutu', '', '', 'via…', '', '', '', '', '', '', 'chez', '', '', 'système', 'santé', 'estil', 'foutu', '…', '', '', '', 'chez', '', 'système', 'santé', 'estil', 'foutu', '', '', 'via', '\n…', '', '', '', '', '', '', 'trompez', 'combat', 'santé', 'il…', '', 'divizionair', '', 'système', 'santé', 'foutu', '\n79\u202f107', 'vues', 'sortie', '18', 'avr', '2022', 'a', 'reparlé', 'crise…', '', '', '', 'mot', 'sauver', 'santé', 'déficits', 'sécu', '130', 'md', '€', '30', 'intervention', 'chirurgicale…', '', '', '', 'covid', 'a', 'mi', 'grand', 'jour', 'ruine', 'système', 'santé', 'numéro', 'années…', '']",health
16,"['', 'écoles', 'hôpitaux', 'peinent', 'trouver', 'personnel', 'pcq', 'covid', 'sest', 'répandue', 'comme', 'traînée', 'poudre…', '']",health
17,"['', 'idée', 'réinvestir', 'améliorer', 'qualité', 'gustative', 'nutritive', 'repas', 'servis', 'hôpitaux…', '']",health
18,"['', '', '', '', '', '', '', 'anti', 'science', 'vaccin', 'covid', 'es…', '']",health
19,"['', '', '', 'vais', 'voter', '', 'peu', 'être', 'pire', '', 'traite', 'comme', 'mer…', '']",health
20,"['', 'voici', 'quelques', 'hôpitaux', '', 'lubumbashi', '\n\ncentre', 'médical', '', 'communauté\ncentre', 'médical', 'diamant', '\nhôpital', 'jason', 'se…', '']",health
21,"['', '', '', 'préférerais', 'très', 'largement', 'mettre', 'enfants', 'lécole', 'obligatoire', 'conseill…', '']",health
22,"['', '', '', 'sinon', 'clinique', 'porte', 'verte', 'versailles', 'délais', 'super', 'longs']",health
23,"['', '', '', '', '', '', 'a', 'toujours', 'crisse', 'port', 'masque', 'obli…', '']",health
24,"['', '', 'hospital', 'collège', 'haute', 'autorité', 'santé', 'ha', 'a', 'publié', 'lettre', 'ouverte', 'tous', 'ceux', 'œuvrent', 'qua…', '']",health
25,"['', '', '', '', 'raison', 'a', 'commencé', 'vider', 'hôpitauxrevenions', 'origin…', '']",health
26,"['', '', 'fera', '40\n\non', 'évite', 'fascisme\n\net', 'pourra', 'retrouver', 'chère', 'délinquance', 'no…', '']",health
27,"['', '', '', 'daccord', 'ça', 'insensé', 'limposer', 'loi', 'comme', 'hôpitaux']",health
28,"['', '', 'n’ai', 'cette', 'information\nmais', 'contrairement', 'macron', 'persiste', 'dire', 'tt', 'va', 'mieux', '', 'ds…', '']",health
29,"['', '', 'effectivement', 'fous', 'retraite', '', 'jai', 'vu', 'père', 'crever', 'boulot', '3h', 'matin', '6…', '']",health
30,"['', '', '', 'oui', 'comprendsmais', 'ya', '', 'soignants', 'vie', 'a', 'pourrie', 'avaitil…', '']",health
31,"['', 'système', 'santé', 'français', 'va', 'exploser', '', '', 'dr', 'bernard', 'kron', '', 'via', '']",health
32,"['', '', '', '', 'perso', 'mère', 'a', 'pu', 'profiter', '2300€', 'reste', 'charge', '0€', '100santé', 'arnaque…', '']",health
33,"['', '', '', 'connais', 'depuis', 'années', 'femme', 'déteste', 'a', 'maîtresse', 'a', 'ho…', '']",health
